Date,Open,Close,High,Low,Volume
2017-05-19,123.96,123.22,126.40,123.07,21096408
2017-05-22,124.98,124.75,125.59,123.56,13487139
2017-05-23,124.67,122.93,125.68,122.85,14365717
2017-05-24,123.07,122.81,123.68,121.95,8375984
2017-05-25,123.74,123.63,124.45,122.31,12482993
2017-05-26,123.93,123.99,124.65,123.10,7557446
2017-05-30,124.08,123.91,124.88,123.53,8342615
2017-05-31,123.64,122.46,124.18,122.00,11580584
2017-06-01,122.82,123.97,124.00,122.26,8898143
2017-06-02,123.72,124.13,124.53,123.24,7341859
2017-06-05,124.02,125.37,125.56,123.87,10029921
2017-06-06,125.61,124.62,126.20,124.27,9256151
2017-06-07,125.08,125.64,125.91,124.11,9430262
2017-06-08,142.51,142.34,143.70,135.21,81347278
2017-06-09,144.57,139.44,148.29,137.01,54358697
2017-06-12,139.17,139.08,142.20,136.05,32173265
2017-06-13,141.88,136.60,142.24,135.90,40867992
2017-06-14,137.80,136.67,139.25,135.26,32852482
2017-06-15,135.64,135.08,135.67,133.10,30504654
2017-06-16,136.28,134.87,136.50,133.55,36428033
2017-06-19,137.81,139.47,140.40,137.40,24940028
2017-06-20,140.08,138.38,140.63,137.93,20570029
2017-06-21,138.82,143.29,143.50,138.02,30900055
2017-06-22,142.05,142.27,144.68,140.88,21890559
2017-06-23,142.10,143.01,143.34,141.60,11751376
2017-06-26,144.03,142.73,145.36,141.27,17826640
2017-06-27,143.90,141.53,144.38,141.10,17370584
2017-06-28,142.65,143.95,144.37,141.48,17751451
2017-06-29,143.16,140.81,143.56,137.52,24124653
2017-06-30,141.03,140.90,142.38,139.92,12273637
2017-07-03,141.75,140.99,142.49,139.50,6975712
2017-07-05,141.16,144.87,145.00,140.33,16988319
2017-07-06,143.01,142.20,143.62,141.83,11928789
2017-07-07,142.65,142.43,143.38,141.83,8038291
2017-07-10,143.00,143.81,144.16,142.25,10345440
2017-07-11,144.29,145.81,145.87,143.26,13512396
2017-07-12,147.38,149.00,149.30,146.85,14944503
2017-07-13,149.52,149.52,150.00,148.00,11676344
2017-07-14,150.12,151.83,152.25,149.69,11462883
2017-07-17,153.53,151.23,153.70,150.42,15333382
2017-07-18,151.08,153.75,154.60,150.48,15306833
2017-07-19,155.14,153.15,156.41,152.64,16890718
2017-07-20,153.96,152.11,154.12,151.84,16728453
2017-07-21,151.79,151.89,152.15,150.31,11447927
2017-07-24,152.77,152.26,153.23,151.60,10646137
2017-07-25,152.36,152.44,152.75,150.85,8455352
2017-07-26,152.53,155.79,156.00,152.36,14440368
2017-07-27,157.85,154.15,160.39,151.33,26048621
2017-07-28,153.96,157.56,158.96,152.82,14442501
2017-07-31,158.90,154.95,159.39,153.50,17774668
2017-08-01,156.25,154.73,156.61,153.80,12018647
2017-08-02,155.47,151.91,155.75,149.10,19522100
2017-08-03,152.10,153.32,153.80,149.60,12420551
2017-08-04,154.32,153.33,154.32,152.16,10031255
2017-08-07,154.83,158.84,158.99,154.37,15893533
2017-08-08,158.56,157.50,159.84,156.80,15430432
2017-08-09,156.05,157.49,157.71,155.20,11014424
2017-08-10,156.20,151.77,156.50,151.25,19296148
2017-08-11,150.51,151.70,152.57,147.50,22303760
2017-08-14,154.77,154.61,155.08,153.10,14579228
2017-08-15,155.74,157.75,158.32,154.00,18625250
2017-08-16,160.00,159.50,160.35,158.54,21268925
2017-08-17,166.12,163.92,168.00,163.51,56805678
2017-08-18,165.36,167.50,169.50,164.10,31479115
2017-08-21,168.29,169.25,170.60,166.98,22334169
2017-08-22,170.02,174.46,174.77,169.64,24463401
2017-08-23,172.90,175.80,176.23,172.75,21927498
2017-08-24,177.00,175.00,177.00,174.30,20781228
2017-08-25,174.80,171.74,174.94,171.11,24168074
2017-08-28,171.15,168.30,171.34,167.06,24588200
2017-08-29,165.15,167.41,169.23,164.35,19576998
2017-08-30,169.15,171.25,172.39,169.15,17756617
2017-08-31,172.54,171.74,172.90,170.25,16478570
2017-09-01,171.99,171.04,172.39,170.65,11163539
2017-09-05,169.47,169.92,171.93,168.74,15019626
2017-09-06,170.17,168.14,171.11,167.00,19982147
2017-09-07,169.26,170.48,170.97,168.00,15101028
2017-09-08,169.99,169.00,171.22,168.92,12341834
2017-09-11,171.50,174.06,174.20,171.50,18238506
2017-09-12,174.89,175.31,175.62,173.37,15622529
2017-09-13,175.75,178.97,179.10,175.56,22029865
2017-09-14,177.54,177.10,179.93,176.02,22809005
2017-09-15,177.90,176.70,179.75,176.70,26560724
2017-09-18,178.89,179.98,180.29,177.75,22913339
2017-09-19,180.69,180.07,180.87,179.25,14743409
2017-09-20,180.02,177.95,180.50,176.15,15391326
2017-09-21,178.05,177.39,178.86,175.30,14576290
2017-09-22,176.20,178.14,178.42,175.68,12743378
2017-09-25,176.48,169.59,177.00,167.50,34024307
2017-09-26,170.01,167.02,171.90,166.79,23690854
2017-09-27,169.84,170.99,171.95,169.45,19436338
2017-09-28,170.91,170.24,171.88,169.57,13948637
2017-09-29,171.11,172.71,173.54,170.74,13397934
2017-10-02,174.57,173.61,175.13,172.57,12557248
2017-10-03,176.06,178.56,178.78,173.61,16709711
2017-10-04,178.06,178.71,180.00,177.30,11415485
2017-10-05,179.00,178.89,179.73,176.03,11888554
2017-10-06,177.85,179.20,179.87,177.61,8743732
2017-10-09,178.97,182.09,183.13,178.75,15011614
2017-10-10,181.65,183.12,184.46,181.36,13201284
2017-10-11,183.00,184.69,184.70,182.60,11974445
2017-10-12,184.04,180.53,184.39,180.35,15441222
2017-10-13,180.96,178.45,181.40,177.97,18107742
2017-10-16,180.00,179.56,180.05,178.51,12855874
2017-10-17,179.58,175.32,180.12,175.30,20132223
2017-10-18,177.09,179.61,180.00,176.28,21766267
2017-10-19,177.00,177.93,179.61,175.45,13538966
2017-10-20,179.02,177.32,179.52,177.08,11953220
2017-10-23,177.80,173.13,178.01,173.05,17610931
2017-10-24,174.00,173.70,175.98,173.26,11945951
2017-10-25,174.69,170.22,175.44,169.30,18109375
2017-10-26,170.62,170.32,171.45,168.58,13527415
2017-10-27,173.19,176.15,177.00,171.11,19712550
2017-10-30,178.43,181.58,181.90,177.59,20219707
2017-10-31,183.57,184.89,185.12,181.81,21256673
2017-11-01,187.88,186.08,188.88,183.58,28594733
2017-11-02,190.99,184.81,191.22,183.31,41239871
2017-11-03,186.51,183.21,186.93,182.06,19697343
2017-11-06,184.07,187.84,188.25,184.00,19873148
2017-11-07,189.58,188.51,189.86,187.00,17780967
2017-11-08,187.98,185.90,188.15,185.10,13944586
2017-11-09,184.21,185.13,185.13,181.05,19755550
2017-11-10,187.03,186.41,187.17,185.40,15030991
2017-11-13,186.77,184.54,187.88,184.00,17185607
2017-11-14,184.30,181.79,184.38,181.15,14475342
2017-11-15,179.37,181.48,181.88,176.74,16566977
2017-11-16,183.31,185.43,186.27,183.12,18389473
2017-11-17,185.92,185.13,186.50,184.67,13422728
2017-11-20,187.60,188.00,190.00,186.61,25992271
2017-11-21,190.35,190.90,191.56,188.80,19639467
2017-11-22,191.54,189.84,191.75,189.37,14417615
2017-11-24,189.39,191.19,191.70,188.70,9887763
2017-11-27,190.49,188.03,191.45,187.55,14952763
2017-11-28,188.83,186.69,189.10,186.50,13378145
2017-11-29,185.25,179.91,185.41,173.62,40204058
2017-11-30,179.53,177.08,179.80,176.32,25851122
2017-12-01,175.27,174.61,179.80,173.80,26782304
2017-12-04,177.20,169.58,177.58,168.26,35895142
2017-12-05,165.28,168.96,172.96,164.25,31609904
2017-12-06,168.30,172.63,173.23,167.87,23897802
2017-12-07,173.76,174.47,175.82,172.26,15697869
2017-12-08,177.72,177.62,178.96,176.37,23543371
2017-12-11,179.19,179.29,180.68,178.15,15626196
2017-12-12,178.00,174.64,178.16,173.77,22656450
2017-12-13,175.19,176.47,177.70,174.30,18653366
2017-12-14,173.11,171.75,173.39,169.61,32830024
2017-12-15,172.89,173.55,173.55,170.00,41356671
2017-12-18,174.60,173.37,174.70,172.37,17023342
2017-12-19,171.97,171.28,173.00,170.51,23936180
2017-12-20,171.79,172.64,172.90,170.80,17121392
2017-12-21,172.80,175.32,176.25,172.65,14812355
2017-12-22,175.84,176.29,176.66,175.04,12524722
2017-12-26,174.55,172.33,175.15,171.73,12913823
2017-12-27,172.29,172.97,173.87,171.73,10152340
2017-12-28,173.04,172.30,173.53,171.67,9508057
2017-12-29,172.28,172.43,173.67,171.20,9704583
2018-01-02,176.40,183.65,184.10,175.70,29916943
2018-01-03,185.19,184.00,185.64,181.40,20121856
2018-01-04,185.90,185.71,187.75,184.43,19473795
2018-01-05,187.17,190.70,190.75,186.30,18168345
2018-01-08,190.46,190.33,191.66,189.07,16230147
2018-01-09,191.13,190.80,192.49,188.00,19495092
2018-01-10,188.10,189.79,190.39,186.58,17943839
2018-01-11,189.73,188.75,190.43,188.10,12400372
2018-01-12,189.91,187.79,190.20,187.25,11789627
2018-01-16,190.40,182.40,191.74,181.75,27428505
2018-01-17,183.30,183.83,184.80,179.32,21346502
2018-01-18,184.28,184.40,185.85,182.69,14190653
2018-01-19,185.15,184.05,185.24,182.80,15349322
